,City,City Latitude,City Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),City Country,City Datetime
0,port blair,11.67,92.75,84.07,84.07,74.0,4.0,8.28,IN,1604202289.0
1,kakonko,-3.28,30.96,61.97,61.97,85.0,50.0,0.89,TZ,1604202290.0
2,saint george,37.1,-113.58,59.09,60.8,17.0,1.0,3.36,US,1604202290.0
3,rikitea,-23.12,-134.97,75.9,75.9,72.0,0.0,9.44,PF,1604202290.0
4,punta arenas,-53.15,-70.92,44.6,44.6,87.0,0.0,5.82,CL,1604202290.0
5,hermanus,-34.42,19.23,55.0,55.0,84.0,8.0,4.0,ZA,1604202267.0
6,staryy nadym,65.61,72.68,29.64,29.64,98.0,65.0,11.81,RU,1604202291.0
7,cape town,-33.93,18.42,58.28,59.0,58.0,0.0,14.99,ZA,1604202134.0
8,hambantota,6.12,81.12,84.85,84.85,67.0,71.0,3.27,LK,1604202263.0
9,saskylakh,71.92,114.08,-6.63,-6.63,86.0,36.0,8.19,RU,1604202292.0
10,saint-philippe,-21.36,55.77,66.9,69.8,73.0,90.0,8.05,RE,1604202292.0
11,east london,-33.02,27.91,62.6,62.6,77.0,20.0,6.93,ZA,1604202292.0
12,hobart,-42.88,147.33,61.36,64.99,67.0,75.0,9.17,AU,1604202232.0
13,chokurdakh,70.63,147.92,-9.04,-9.04,92.0,97.0,9.78,RU,1604202292.0
14,teluk nibung,3.0,99.82,87.15,87.15,57.0,100.0,4.88,ID,1604202293.0
15,carnarvon,-24.87,113.63,75.2,75.2,60.0,75.0,18.34,AU,1604202293.0
16,vaini,-21.2,-175.2,78.8,78.8,78.0,75.0,13.87,TO,1604202293.0
17,kodiak,57.79,-152.41,33.8,33.8,37.0,1.0,11.41,US,1604202293.0
18,busselton,-33.65,115.33,59.2,61.0,81.0,100.0,10.13,AU,1604202293.0
19,kichmengskiy gorodok,59.98,45.79,28.24,28.24,98.0,8.0,1.66,RU,1604202293.0
20,kapaa,22.08,-159.32,79.11,80.6,69.0,75.0,8.95,US,1604202270.0
21,kegayli,-19.55,169.27,79.74,79.74,73.0,75.0,14.07,VU,1604202294.0
22,jahrom,70.47,-68.59,6.8,6.8,92.0,90.0,17.22,CA,1604202294.0
23,isangel,-28.77,114.6,59.0,59.0,93.0,75.0,11.41,AU,1604202294.0
24,clyde river,-23.7,133.88,87.8,87.8,13.0,0.0,8.05,AU,1604202128.0
25,geraldton,-13.7,-76.22,61.32,62.01,87.0,42.0,2.24,PE,1604202294.0
26,alice springs,-54.8,-68.3,46.4,46.4,93.0,75.0,6.93,AR,1604202294.0
27,pisco,-46.28,169.85,57.0,57.0,73.0,94.0,15.01,NZ,1604202294.0
28,mys shmidta,78.22,15.64,21.2,21.2,73.0,20.0,13.87,SJ,1604202295.0
29,vaitupu,15.85,-97.07,78.87,78.87,74.0,10.0,4.21,MX,1604202295.0
30,ushuaia,65.61,-37.64,32.0,32.0,96.0,100.0,3.36,GL,1604202295.0
31,kaitangata,-9.66,20.39,62.01,62.01,88.0,68.0,1.99,AO,1604202295.0
32,longyearbyen,-2.97,119.9,81.54,81.54,57.0,100.0,1.28,ID,1604202295.0
33,puerto escondido,43.65,51.2,44.6,44.6,36.0,0.0,6.71,KZ,1604202055.0
34,tasiilaq,48.84,27.27,44.38,44.38,86.0,100.0,18.45,UA,1604202295.0
35,saurimo,-20.32,118.57,89.6,89.6,49.0,0.0,14.99,AU,1604202274.0
36,rantepao,-3.43,10.66,77.0,77.0,90.0,100.0,4.32,GA,1604202296.0
37,aktau,65.58,-171.0,22.26,22.26,90.0,0.0,8.12,RU,1604202296.0
38,nova ushytsya,22.28,113.57,78.03,80.01,69.0,20.0,2.24,CN,1604202296.0
39,port hedland,58.25,22.5,48.2,48.2,81.0,90.0,13.87,EE,1604202296.0
40,mayumba,42.6,-73.97,31.21,34.0,84.0,0.0,5.01,US,1604202276.0
